Pcode,Location Name in en,Location name in ar,latitude,Longitude,elevation ,governate,governate in ar
LBN25005,Ain Kfar Zabad,??? ??? ???,33.79576,36.00521,1037,Bekaa,??????
LBN25001,Aali en Nahri,??? ??????,33.85621,36.02676,948,Bekaa,??????
LBN25003,Ablah,????,33.86730,35.96346,938,Bekaa,??????
LBN25018,Deir Zenoun,??? ????,33.75732,35.90998,869,Bekaa,??????
LBN25012,Chtaura,?????,33.81518,35.85221,911,Bekaa,??????
LBN25035,Jlala,?????,33.81903,35.85953,924,Bekaa,??????
LBN25016,Dalhamiye,??????,33.81711,35.95755,884,Bekaa,??????
LBN25017,Deir el Ghazal,??? ??????,33.82446,36.03363,1113,Bekaa,??????
LBN25022,Fourzol,???? ,33.87474,35.94246,1025,Bekaa,??????
LBN25069,Tell el Aamara,?? ???????,33.85419,35.98169,908,Bekaa,??????
LBN25031,Houch El-Ghanam,??? ?????,33.86985,36.02775,953,Bekaa,??????
LBN25033,Houch Hala,??? ????,33.84881,35.99386,913,Bekaa,??????
LBN25029,Hazerta,?????,33.87912,35.86679,1311,Bekaa,??????
LBN25037,Kfar Zabad,??? ???,33.78565,35.99363,984,Bekaa,??????
LBN25039,Ksara,?????,33.82786,35.89198,925,Bekaa,??????
LBN25044,Masnaa Zahle,?????? ????,33.70307,35.92370,1035,Bekaa,??????
LBN25049,Nabi Aila,??? ????,33.88147,35.95372,1058,Bekaa,??????
LBN25052,Nasriyet Rizq,?????? ???,33.86303,36.05981,1017,Bekaa,??????
LBN25050,Nasriyet Zahle,??????  ????,33.76217,35.85720,865,Bekaa,??????
LBN25053,Niha zahle,???? ????,33.89058,35.97409,1098,Bekaa,??????
LBN25062,Ras el Ain Zahle,??? ????? ????,33.79681,35.80922,1037,Bekaa,??????
LBN25055,Ouadi el Aarayech,???? ???????,33.86219,35.89038,1046,Bekaa,??????
LBN25056,Qaa er Rim,??? ?????,33.88418,35.87422,1243,Bekaa,??????
LBN25038,Koussaya,??????,33.81292,36.02411,1129,Bekaa,??????
LBN25061,Raite,????,33.83097,36.04497,1061,Bekaa,??????
LBN25023,Haret el Fikani,???? ????????,33.84885,36.02771,951,Bekaa,??????
LBN25064,Rayak,????,33.84917,36.01116,931,Bekaa,??????
LBN25065,Saadnayel,???????,33.82045,35.88187,912,Bekaa,??????
LBN25067,Taalabaya,???????,33.81631,35.86291,917,Bekaa,??????
LBN25068,Taanayel,??????,33.80112,35.86871,886,Bekaa,??????
LBN25072,Terbol,????,33.81783,35.98273,898,Bekaa,??????
LBN25027,Haouch el Oumara Aradi,???? ??? ??????? ?????,33.81551,35.91624,880,Bekaa,??????
LBN25060,Qommol,????,33.84529,35.85791,1119,Bekaa,??????
LBN25008,Berbara zahle,?????? ????,33.85131,35.89742,994,Bekaa,??????
LBN25040,Zahle Maalaqa Aradi,???? ????? ?????,33.84420,35.91681,948,Bekaa,??????
LBN25036,Karak Nouh,??? ??? ,33.84953,35.92275,957,Bekaa,??????
LBN25074,Zahle,????,33.84908,35.90270,1008,Bekaa,??????
LBN25063,Rassiyeh,???????,33.84836,35.89157,1048,Bekaa,??????
LBN25071,Tell Chiha,?? ????,33.84114,35.90678,1031,Bekaa,??????
LBN25032,Houch ez Zaraane,??? ????????,33.84609,35.90908,996,Bekaa,??????
LBN25041,MADINAT AL SINA'IYAT,????? ????????,33.83717,35.91513,924,Bekaa,??????
LBN25043,Mar Elias Zahle,??? ????? ????,33.84481,35.89699,1068,Bekaa,??????
LBN25076,Mazraat Zahle,????? ????,33.76712,35.80539,983,Bekaa,??????
LBN24047,Soultan Yaaqoub Aradi,????? ????? ?????,33.67506,35.86579,889,Bekaa,??????
LBN25080,Zahle Aradi,???? ?????,33.84408,35.87714,1119,Bekaa,??????
LBN25081,Zahle  Saydet En Najat,????  ???? ??????,33.84549,35.89368,1006,Bekaa,??????
LBN25082,Zahle  Mar Antonios,???? ??? ????????,33.84793,35.89768,1006,Bekaa,??????
LBN25083,Zahle  Mar Gerges,???? ??? ????,33.84425,35.90251,1006,Bekaa,??????
